Company,Date,StockPrice,Revenue
Luckin Coffee,0,37.12,1.00
Luckin Coffee,0,39.61,1.00
Luckin Coffee,0,37.87,1.00
Luckin Coffee,1,36.4,1.00
Luckin Coffee,1,32.49,1.00
Luckin Coffee,1,31.35,1.00
Luckin Coffee,1,36.24,1.00
Alibaba,0,205.47,0.94
Alibaba,0,210.23,0.94
Alibaba,0,212.02,0.94
Alibaba,1,208.58,0.94
Alibaba,1,206.59,0.94
Alibaba,1,213.1,0.94
Alibaba,1,222.88,0.94
China Eastern Airline,0,22.4,0.99
China Eastern Airline,0,22.84,0.99
China Eastern Airline,0,23.29,0.99
China Eastern Airline,1,23.03,0.99
China Eastern Airline,1,22.79,0.99
China Eastern Airline,1,23.16,0.99
China Eastern Airline,1,23.6,0.99
Disney,0,135.9,0.11
Disney,0,138.37,0.11
Disney,0,136.06,0.11
Disney,1,137.81,0.11
Disney,1,138.31,0.11
Disney,1,141.32,0.11
Disney,1,144.73,0.11
NIKE,0,100.24,0.14
NIKE,0,100.41,0.14
NIKE,0,99.84,0.14
NIKE,1,98.19,0.14
NIKE,1,96.3,0.14
NIKE,1,99.27,0.14
NIKE,1,101.38,0.14
YUM CHINA,0,41.92,1.00
YUM CHINA,0,45.05,1.00
YUM CHINA,0,45.01,1.00
YUM CHINA,1,44,1.00
YUM CHINA,1,43.07,1.00
YUM CHINA,1,43.12,1.00
YUM CHINA,1,44.31,1.00
Bank of China,0,0.4,0.99
Bank of China,0,0.39,0.99
Bank of China,0,0.4,0.99
Bank of China,1,0.395,0.99
Bank of China,1,0.3905,0.99
Bank of China,1,0.3751,0.99
Bank of China,1,0.405,0.99
China Mengniu Diary,0,41.9,0.98
China Mengniu Diary,0,41.9,0.98
China Mengniu Diary,0,41.9,0.98
China Mengniu Diary,1,37.98,0.98
China Mengniu Diary,1,37.98,0.98
China Mengniu Diary,1,37.98,0.98
China Mengniu Diary,1,38.93,0.98
P&G,0,125.69,0.09
P&G,0,126.03,0.09
P&G,0,125.06,0.09
P&G,1,125.59,0.09
P&G,1,124.62,0.09
P&G,1,125.11,0.09
P&G,1,125.66,0.09
Lenovo,0,0.70975,0.38
Lenovo,0,0.7034,0.38
Lenovo,0,0.7155,0.38
Lenovo,1,0.665,0.38
Lenovo,1,0.6525,0.38
Lenovo,1,0.6555,0.38
Lenovo,1,0.7,0.38
